,Zone,Année,Qte pesticide(kg/ha),Rendement(hg/ha),Qte azote(N),Qte Engrais phosphatés,Qte potasse K2O,rainfall,Temperature
0,Angola,1991,0.02,157137,0.67,0.67,0.67,64.93303333333334,21.366644444444443
1,Angola,1992,0.01,164877,0.89,0.86,0.86,54.19785777777778,21.564788888888888
2,Angola,1993,0.05000000000000001,172617,0.57,0.86,0.86,69.29225777777779,21.321544444444445
3,Angola,1994,0.01,180354,0.57,1.43,0.86,55.321584444444426,21.326222222222224
4,Angola,1995,0.10000000000000002,188094,0.57,0.86,0.86,53.3821,21.84207777777777
5,Angola,1996,0.01,195834,0.57,0.57,0.57,62.43495222222222,21.400566666666666
6,Angola,1997,0.0033333333333333327,65903,0.57,0.0,0.0,74.79047222222222,21.666144444444445
7,Angola,1998,0.006666666666666667,127504,0.66,0.0,0.31,62.84605444444446,22.37117777777777
8,Angola,1999,0.006666666666666667,115384,0.68,0.0,0.32,64.36775555555555,21.325311111111112
9,Angola,2000,0.0033333333333333327,57778,0.42,0.0,0.0,70.63471222222222,21.48735555555556
10,Angola,2002,0.01,207984,0.81,0.3,0.41,71.08486888888888,22.024266666666666
11,Angola,2003,0.01,215340,0.5,0.41,0.74,60.99688666666668,22.07468888888889
12,Angola,2004,0.01,223878,2.0,1.01,1.12,73.91960111111112,21.63383333333333
13,Angola,2005,0.01,210738,1.03,0.42,0.63,60.29889666666668,22.36033333333333
14,Angola,2006,0.01,231354,1.85,0.38,1.13,73.08314222222221,21.630122222222226
15,Angola,2007,0.01,233457,1.51,0.65,0.88,65.66076,21.66406666666667
16,Angola,2008,0.01,356034,2.21,1.06,4.33,69.75673555555558,21.398333333333333
17,Angola,2009,0.01,357636,2.44,1.19,1.47,73.73298,21.822411111111112
18,Angola,2010,0.01,353259,3.96,1.97,1.95,64.96137,22.122133333333334
19,Angola,2011,0.01,377814,3.28,3.38,4.62,66.68139222222221,21.28894444444445
20,Angola,2012,0.01,217032,3.89,1.59,2.88,74.56949888888889,21.37454444444445
21,Angola,2013,0.01,243072,3.94,1.82,2.99,63.12987555555557,21.52133333333333
22,Angola,2014,0.01,275442,5.32,1.52,1.91,71.32040888888888,21.522722222222214
23,Angola,2015,0.01,298971,4.91,1.01,1.68,58.91892333333333,21.685588888888887
24,Angola,2016,0.01,298572,4.0,1.26,1.57,56.15287666666666,22.04772222222222
25,Bahamas,2001,33.0,801315,36.36,18.18,18.18,133.17428888888892,25.33971111111111
26,Bahamas,2012,21.17,911502,58.05,24.54,20.81,145.35834444444447,25.651855555555557
27,Bahamas,2013,21.17,929871,40.82,26.33,22.56,116.81386666666668,25.541722222222226
28,Bahamas,2014,21.17,946335,46.31,22.97,32.45,136.1362111111111,26.022277777777767
29,Bahamas,2015,21.17,969921,55.25,33.63,37.71,106.3095222222222,26.308711111111112
30,Bahamas,2016,21.17,974475,55.25,33.63,37.71,130.42512222222223,26.01427777777778
31,Bangladesh,1991,0.13,83679,72.59,22.28,8.46,264.39002222222217,25.699255555555553
32,Bangladesh,1992,0.16,88899,79.71,23.69,8.21,182.27524444444444,25.480277777777772
33,Bangladesh,1993,0.17,87966,82.93,16.93,7.04,278.1740533333334,25.2357
34,Bangladesh,1994,0.18000000000000002,88653,91.75,17.52,10.55,190.99293333333333,25.808311111111113
35,Bangladesh,1995,0.19000000000000006,87852,107.48,18.01,10.71,243.1409633333334,26.08182222222222
36,Bangladesh,1996,0.22,90363,114.14,13.46,13.41,217.89256444444442,26.008288888888888
37,Bangladesh,1997,0.23,86697,100.01,13.33,13.21,244.35047222222227,25.4661
38,Bangladesh,1998,0.23,91560,99.9,18.27,14.33,260.0955222222222,25.9452
39,Bangladesh,1999,0.28,91440,114.19,23.34,16.16,256.8483788888889,26.392022222222227
40,Bangladesh,2000,0.36000000000000004,94989,113.17,28.45,8.41,248.78365555555558,25.3825
41,Bangladesh,2001,0.3800000000000001,93186,119.76,28.28,16.63,219.50480777777776,26.19508888888889
42,Bangladesh,2002,0.48,90597,123.28,36.76,17.82,257.62285,25.98155555555556
43,Bangladesh,2003,0.63,91467,109.0,22.95,19.14,226.95693222222218,25.95763333333333
44,Bangladesh,2004,0.8000000000000002,91101,109.37,31.28,18.67,202.46334222222217,26.15373333333333
45,Bangladesh,2005,0.93,122601,114.03,37.51,28.05,185.9098733333333,26.33663333333334
46,Bangladesh,2006,1.08,126168,126.6,34.4,14.38,215.61890111111111,26.640933333333336
47,Bangladesh,2007,1.26,150030,120.99,29.55,15.79,314.45344,26.162044444444447
48,Bangladesh,2008,1.43,140796,148.73,12.68,19.0,221.6564666666667,26.0267
49,Bangladesh,2009,1.59,128208,133.72,19.69,16.88,205.7226933333333,26.924966666666666
50,Bangladesh,2010,1.53,126873,135.03,34.27,22.72,234.93788333333336,26.720766666666666
51,Bangladesh,2011,1.74,119595,149.49,46.87,33.91,302.76279777777773,26.01474444444445
52,Bangladesh,2012,1.5599999999999998,151923,132.6,58.69,43.17,213.7579488888889,25.656922222222217
53,Bangladesh,2013,1.8,143817,130.67,58.82,40.27,211.74795777777774,25.729888888888887
54,Bangladesh,2014,1.87,162873,144.75,66.46,40.73,207.26706666666664,25.635366666666666
